latitude wgs84,longitude wgs84,site,water body,uom,quantity,quantity type,collection method,author,series id,url json,url csv
46.155437,10.755952,Pinzolo Sarca,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32179,https://www.floods.it/api/v1/monitoring/32179.json,https://www.floods.it/api/v1/monitoring/32179.csv
46.155556,10.756111,Pinzolo Sarca,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42436,https://www.floods.it/api/v1/monitoring/42436.json,https://www.floods.it/api/v1/monitoring/42436.csv
46.037477,10.870244,Ponte Arche,fiume Sarca,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32207,https://www.floods.it/api/v1/monitoring/32207.json,https://www.floods.it/api/v1/monitoring/32207.csv
46.037222,10.87,Ponte Arche,fiume Sarca,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42437,https://www.floods.it/api/v1/monitoring/42437.json,https://www.floods.it/api/v1/monitoring/42437.csv
45.817397,10.545005,Ponte dei Tedeschi,fiume Chiese,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31924,https://www.floods.it/api/v1/monitoring/31924.json,https://www.floods.it/api/v1/monitoring/31924.csv
45.817228,10.545348,Ponte dei Tedeschi,fiume Chiese,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,38569,https://www.floods.it/api/v1/monitoring/38569.json,https://www.floods.it/api/v1/monitoring/38569.csv
46.052548,11.507308,Ponte delle Carrette,torrente Maso,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28205,https://www.floods.it/api/v1/monitoring/28205.json,https://www.floods.it/api/v1/monitoring/28205.csv
46.0525,11.507778,Ponte delle Carrette,torrente Maso,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42438,https://www.floods.it/api/v1/monitoring/42438.json,https://www.floods.it/api/v1/monitoring/42438.csv
46.262609,11.062353,Ponte di Moncovo,fiume Noce,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,28341,https://www.floods.it/api/v1/monitoring/28341.json,https://www.floods.it/api/v1/monitoring/28341.csv
46.039078,11.410511,Ponte Zaccon,fiume Brenta,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,31939,https://www.floods.it/api/v1/monitoring/31939.json,https://www.floods.it/api/v1/monitoring/31939.csv
46.039167,11.410556,Ponte Zaccon,fiume Brenta,m3/s,discharge,instantaneous,derived from measurement,Provincia Autonoma di Trento – Ufficio Dighe,42439,https://www.floods.it/api/v1/monitoring/42439.json,https://www.floods.it/api/v1/monitoring/42439.csv
46.189798,11.250972,Prà Ponte di Cantilaga,torrente Avisio,m,gage height,instantaneous,measurement,Provincia Autonoma di Trento – Ufficio Dighe,32527,https://www.floods.it/api/v1/monitoring/32527.json,https://www.floods.it/api/v1/monitoring/32527.csv
